Dientich,Gia
 33 m2," 6,95 tỷ "
 30 m2," 4,8 tỷ "
 22 m2," 3,6 tỷ "
 55 m2, 20 tỷ 
 31 m2," 5,7 tỷ "
 43 m2," 6,2 tỷ "
 32 m2," 5,45 tỷ "
 29 m2," 5,25 tỷ "
 29 m2," 4,5 tỷ "
 49 m2," 8,085 tỷ "
 84 m2," 16,6 tỷ "
 84 m2," 16,8 tỷ "
 1.500 m2, 500 tỷ 
 88 m2, 39 tỷ 
 64 m2, 16 tỷ 
 50 m2," 4,5 tỷ "
 57 m2," 17,9 tỷ "
 40 m2," 7,2 tỷ "
 53 m2," 16,5 tỷ "
 50 m2," 15,1 tỷ "
 64 m2," 20,5 tỷ "
 51 m2," 27,5 tỷ "
 65 m2, 8 tỷ 
 102 m2, 47 tỷ 
 120 m2, 23 tỷ 
 45 m2," 7,9 tỷ "
 30 m2," 4,18 tỷ "
 70 m2," 19,5 tỷ "
 42 m2," 7,3 tỷ "
 52 m2," 12,4 tỷ "
 59 m2," 13,8 tỷ "
 42 m2," 8,5 tỷ "
 30 m2," 6,2 tỷ "
 280 m2, 68 tỷ 
 64 m2, 16 tỷ 
 36 m2," 5,35 tỷ "
 33 m2," 6,69 tỷ "
 50 m2," 2,55 tỷ "
 52 m2," 7,4 tỷ "
 35 m2," 6,8 tỷ "
